INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('1', 'Kathryn Hermiston-Schinner', 'Angie22@yahoo.com', '018375b1-7423-49a3-8a83-bf0df80c4607', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('2', 'Lyle Kuhic', 'Leo.Altenwerth35@hotmail.com', '9e1fdabc-10bf-4c96-ac13-c7f184d576f8', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('3', 'Wayne Mosciski', 'Ned_Kshlerin-Homenick@yahoo.com', 'f2d8cf2a-ae22-4b6b-9e54-a7de9f982565', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('4', 'Ella Barton', 'Ralph_Greenholt@yahoo.com', 'b4b15813-108e-42ba-a7a8-c9c1dde13e80', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('5', 'Faith Senger Jr.', 'Lorenzo40@yahoo.com', '399cf579-2065-4ee5-b18c-0bffb0ef611a', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('6', 'Alfonso Heller', 'Ian_Blick@yahoo.com', '6ef4a11a-540c-4afa-84ed-f64d3cb0b538', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('7', 'Sonia Friesen IV', 'Madelyn.Prosacco96@gmail.com', '87f4fb59-b4d5-4d40-b0a8-2963b540269d', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('8', 'Leo Lindgren', 'Jean.Reichel47@hotmail.com', 'd3762142-cf3f-4fe6-8da3-674724e0cdb8', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('9', 'Mrs. Alison Bednar PhD', 'Wanda62@gmail.com', '91185685-a819-4019-92d2-015475c37047', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('10', 'Tracey Abernathy Sr.', 'Anthony_Conroy66@yahoo.com', 'b19917b0-9a57-4ea8-b4ac-c84643154905', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('11', 'Tracey Champlin', 'Travis_Schuppe@hotmail.com', 'd5ab6234-2195-486e-a651-ba4fa72d922c', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('12', 'Felicia Pfeffer', 'Brianne_Predovic89@yahoo.com', 'c634565c-26a8-490b-b818-cd65e15d6854', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('13', 'Bryant Stiedemann', 'Stephan.Wilkinson@gmail.com', '612d92b6-145b-4748-9cff-2ea0cadf56d4', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('14', 'Antoinette Aufderhar', 'Nakia.Lang-West@hotmail.com', '143e60cc-efc4-4244-a3f2-c172c4524bd6', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('15', 'Meredith Gorczany', 'Hyman.Gerhold-Spencer@hotmail.com', '24e35298-747c-4c33-8b01-87999bb39e4e', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('16', 'Dr. Holly Batz', 'Rylee.Zboncak@hotmail.com', 'a24122a5-4ae0-4272-9f36-0f97d9e1a9f7', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('17', 'Jessica Klein', 'Penelope28@hotmail.com', '0808ab0c-b539-40e3-92cf-86351f419b0f', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('18', 'Natalie Quitzon', 'Jannie.Senger41@hotmail.com', '14e89cba-d31f-472a-9d45-2b10f8c25d0e', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('19', 'Marguerite Cruickshank', 'Kasandra.Upton14@yahoo.com', '718abb5f-c312-4708-8f8b-8a71a9152dfd', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('20', 'Dr. Laurence Prohaska', 'Ashlee.Zieme@gmail.com', '94b8bebb-6cb4-4295-a552-1c75a82490a8', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('21', 'Randall Cummerata', 'Coy.Brekke58@gmail.com', '645ed0c4-5625-422d-b640-530eb11f3cd3', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('22', 'Eugene Bauch', 'Ross82@hotmail.com', '52ddebcc-0245-4dc4-847e-05871a3f9946', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('23', 'Allan Cole', 'Zetta.Marks@gmail.com', '9f18162f-e250-4500-9771-c0818d3dd5ab', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('24', 'Gregory Cronin', 'Veronica.Lowe@gmail.com', '074e598b-2fe0-4159-81e8-1e7d8db3b0fc', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('25', 'Jeff Rempel IV', 'Corbin47@gmail.com', 'b31597f9-d1d1-4ce3-b5b4-e496d9e32faa', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('26', 'Estelle Durgan DVM', 'Kurtis.Howe-Glover@yahoo.com', '137507d4-5357-44c7-af5d-a5afa4d8d84c', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('27', 'Herbert Howell', 'Reece.Mraz65@yahoo.com', '9e743268-1da6-481a-9368-2f6d1e593d77', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('28', 'Rafael Labadie', 'Zoe17@hotmail.com', '522fd318-8958-4fbc-8055-58f44eeef9bd', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('29', 'Pablo Schmidt', 'Roy33@hotmail.com', 'ee870f3e-db29-44ef-8bdf-2b1b39064c8f', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('30', 'David Funk', 'Phyllis_Schulist@yahoo.com', '9cde534b-f95d-4790-85bc-60d55ff09e02', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('31', 'Cristina Heathcote', 'Beatrice_Blick@yahoo.com', '48ba0a65-6fce-47da-91a1-ab630dae6968', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('32', 'Rex Haag', 'Fabian43@yahoo.com', 'd91429d7-6240-4c9f-a1c7-9123021bcf0d', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('33', 'Roy Gerlach', 'Chaim_Boyle45@hotmail.com', '6efb8a2b-a48b-490a-8afd-c0ee43faa5ee', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('34', 'Chester Jacobs', 'Bud.Dach@hotmail.com', 'a0c3e97f-31c3-4598-abe9-c4aaedde96cf', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('35', 'Gerard Cruickshank', 'Ethel.Hessel70@yahoo.com', 'ae9a9555-5a15-4575-972e-42ac5e8ccb6c', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('36', 'Nathaniel Oberbrunner', 'Shaylee_Robel45@hotmail.com', '3d81b81b-97b6-4e30-a9ea-a3b164bdb3ec', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('37', 'Howard Torphy', 'Zoey36@hotmail.com', '4c175812-cf29-4276-9dcf-6a041f469f8f', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('38', 'Andre Romaguera', 'Hannah.Strosin15@gmail.com', '8b24cd3d-a932-49ab-b399-faf06fe2f2ac', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('39', 'Dr. Matt Kling', 'Madilyn.Schroeder@yahoo.com', '82008fae-206c-48ee-85c3-2a6b48169c87', 'cliente');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('40', 'Glenn Bernier IV', 'Ulises_Gutkowski@gmail.com', 'de6298b7-a93b-4f4e-8f33-def3dd42c2c4', 'admin');
INSERT INTO products.usuarios (id, nome, email, senha_hash, tipo) VALUES ('41', 'camila', 'camila@gmail.com', '$2b$10$lSsycu3/HGx2vt.dmdmkH.a.TJCIBSIQ.Q3qq1f1sBNkdDOHsHi2C', 'admin');
